Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
QNTO,QUAINT OAK BANCORP INC,OTCQX U.S. Premier,12.500000,63.797900,217,Common Stock,USA,Pennsylvania
FABK,FIRST ADVANTAGE BANCORP,OTCQX U.S. Premier,25.500000,104.406600,2600,Common Stock,USA,Tennessee
EMPK,EMPIRE BANCORP INC,OTCQX U.S. Premier,12.500000,93.083800,1073,Common Stock,USA,New York
SBKK,SUNCREST BK (VISALIA CA),OTCQX U.S. Premier,11.849000,92.846000,708,Common Stock,USA,California
OTCM,OTC MARKETS GROUP INC A,OTCQX U.S. Premier,33.700000,75.981100,1350,Common Stock,USA,New York
VLLX,VALLEY REPUBLIC BANCORP,OTCQX U.S. Premier,33.000000,73.501000,0,Common Stock,USA,California
EMYB,EMBASSY BANCORP INC,OTCQX U.S. Premier,15.510000,77.815000,100,Common Stock,USA,Pennsylvania
CTUY,CENTURY NEXT FINANCIAL CP,OTCQX U.S. Premier,33.000000,51.266600,0,Common Stock,USA,Louisiana
PBAM,PRIVATE BANCORP OF AMER,OTCQX U.S. Premier,23.500000,470.325100,100,Common Stock,USA,California
UNIF,U&I FINANCIAL CORP,OTCQX U.S. Premier,9.210000,17.478500,2250,Common Stock,USA,Washington
WBBW,WESTBURY BANCORP INC,OTCQX U.S. Premier,22.600000,55.308400,129,Common Stock,USA,Wisconsin
FFMR,FIRST FARMERS FINANCIAL,OTCQX U.S. Premier,40.500000,42.321700,0,Common Stock,USA,Indiana
REVB,REVERE BANK LAUREL MD,OTCQX U.S. Premier,29.050000,53.635200,4264,Common Stock,USA,Maryland
CBWA,COMMENCEMENT BK TAC WASH,OTCQX U.S. Premier,14.830000,166.113300,4,Common Stock,USA,Washington
PMHG,PRIME MERIDIAN HLDG CO,OTCQX U.S. Premier,20.450000,296.632400,3836,Common Stock,USA,Florida
SABK,SOUTH ATLANTIC BANCSHARES,OTCQX U.S. Premier,12.160000,93.210400,9560,Common Stock,USA,South Carolina
MCBS,METROCITY BANKSHARES INC,OTCQX U.S. Premier,27.500000,106.418900,0,Common Stock,USA,Georgia
MCBI,MOUNTAIN COMM BANCORP INC,OTCQX U.S. Premier,18.770000,141.210900,0,Common Stock,USA,Tennessee
AMPY,AMPLIFY ENERGY CORP,OTCQX U.S. Premier,6.800000,114.944300,109611,Common Stock,USA,Texas
CALB,CALIFORNIA BANCORP,OTCQX U.S. Premier,19.500000,48.303000,1117,Common Stock,USA,California
VTYB,VICTORY BANCORP INC,OTCQX U.S. Premier,8.300000,62.208300,400,Common Stock,USA,Pennsylvania
CNBN,CNB BK SHS INC,OTCQX U.S. Premier,19.500000,24.545500,0,Common Stock,USA,Illinois
RVRA,RIVIERA RESOURCES INC,OTCQX U.S. Premier,13.990000,325.557800,98538,Common Stock,USA,Texas
