,Mult,OBS_STATUS,OBS_VALUE,Series,TIME_PERIOD,Type,Unit
0,1,,,DTCTL_@%A_BA.M,,TOTAL,Percent
1,1,A,-20.94,DTCTL_@%A_BA.M,1943-02-28,TOTAL,Percent
2,1,A,-42.49,DTCTL_@%A_BA.M,1943-03-31,TOTAL,Percent
3,1,A,-20.88,DTCTL_@%A_BA.M,1943-04-30,TOTAL,Percent
4,1,A,-37.12,DTCTL_@%A_BA.M,1943-05-31,TOTAL,Percent
5,1,A,-23.05,DTCTL_@%A_BA.M,1943-06-30,TOTAL,Percent
6,1,A,-21.41,DTCTL_@%A_BA.M,1943-07-31,TOTAL,Percent
7,1,A,-16.71,DTCTL_@%A_BA.M,1943-08-31,TOTAL,Percent
8,1,A,1.88,DTCTL_@%A_BA.M,1943-09-30,TOTAL,Percent
9,1,A,0.67,DTCTL_@%A_BA.M,1943-10-31,TOTAL,Percent
10,1,A,-15.69,DTCTL_@%A_BA.M,1943-11-30,TOTAL,Percent
11,1,A,-24.60,DTCTL_@%A_BA.M,1943-12-31,TOTAL,Percent
12,1,A,-14.05,DTCTL_@%A_BA.M,1944-01-31,TOTAL,Percent
13,1,A,-9.83,DTCTL_@%A_BA.M,1944-02-29,TOTAL,Percent
14,1,A,3.59,DTCTL_@%A_BA.M,1944-03-31,TOTAL,Percent
15,1,A,1.97,DTCTL_@%A_BA.M,1944-04-30,TOTAL,Percent
16,1,A,11.45,DTCTL_@%A_BA.M,1944-05-31,TOTAL,Percent
17,1,A,8.24,DTCTL_@%A_BA.M,1944-06-30,TOTAL,Percent
18,1,A,6.67,DTCTL_@%A_BA.M,1944-07-31,TOTAL,Percent
19,1,A,7.80,DTCTL_@%A_BA.M,1944-08-31,TOTAL,Percent
20,1,A,3.31,DTCTL_@%A_BA.M,1944-09-30,TOTAL,Percent
21,1,A,3.61,DTCTL_@%A_BA.M,1944-10-31,TOTAL,Percent
22,1,A,0.90,DTCTL_@%A_BA.M,1944-11-30,TOTAL,Percent
23,1,A,3.36,DTCTL_@%A_BA.M,1944-12-31,TOTAL,Percent
24,1,A,3.66,DTCTL_@%A_BA.M,1945-01-31,TOTAL,Percent
25,1,A,-6.19,DTCTL_@%A_BA.M,1945-02-28,TOTAL,Percent
26,1,A,20.21,DTCTL_@%A_BA.M,1945-03-31,TOTAL,Percent
27,1,A,-18.05,DTCTL_@%A_BA.M,1945-04-30,TOTAL,Percent
28,1,A,4.90,DTCTL_@%A_BA.M,1945-05-31,TOTAL,Percent
29,1,A,21.24,DTCTL_@%A_BA.M,1945-06-30,TOTAL,Percent
30,1,A,9.32,DTCTL_@%A_BA.M,1945-07-31,TOTAL,Percent
31,1,A,3.81,DTCTL_@%A_BA.M,1945-08-31,TOTAL,Percent
32,1,A,-1.82,DTCTL_@%A_BA.M,1945-09-30,TOTAL,Percent
33,1,A,36.21,DTCTL_@%A_BA.M,1945-10-31,TOTAL,Percent
34,1,A,33.08,DTCTL_@%A_BA.M,1945-11-30,TOTAL,Percent
35,1,A,92.82,DTCTL_@%A_BA.M,1945-12-31,TOTAL,Percent
36,1,A,-11.43,DTCTL_@%A_BA.M,1946-01-31,TOTAL,Percent
37,1,A,48.23,DTCTL_@%A_BA.M,1946-02-28,TOTAL,Percent
38,1,A,42.48,DTCTL_@%A_BA.M,1946-03-31,TOTAL,Percent
39,1,A,56.15,DTCTL_@%A_BA.M,1946-04-30,TOTAL,Percent
40,1,A,32.59,DTCTL_@%A_BA.M,1946-05-31,TOTAL,Percent
41,1,A,27.06,DTCTL_@%A_BA.M,1946-06-30,TOTAL,Percent
42,1,A,36.06,DTCTL_@%A_BA.M,1946-07-31,TOTAL,Percent
43,1,A,62.24,DTCTL_@%A_BA.M,1946-08-31,TOTAL,Percent
44,1,A,36.59,DTCTL_@%A_BA.M,1946-09-30,TOTAL,Percent
45,1,A,41.24,DTCTL_@%A_BA.M,1946-10-31,TOTAL,Percent
46,1,A,43.59,DTCTL_@%A_BA.M,1946-11-30,TOTAL,Percent
47,1,A,29.43,DTCTL_@%A_BA.M,1946-12-31,TOTAL,Percent
48,1,A,41.40,DTCTL_@%A_BA.M,1947-01-31,TOTAL,Percent
49,1,A,39.16,DTCTL_@%A_BA.M,1947-02-28,TOTAL,Percent
50,1,A,30.55,DTCTL_@%A_BA.M,1947-03-31,TOTAL,Percent
51,1,A,34.81,DTCTL_@%A_BA.M,1947-04-30,TOTAL,Percent
52,1,A,31.60,DTCTL_@%A_BA.M,1947-05-31,TOTAL,Percent
53,1,A,22.99,DTCTL_@%A_BA.M,1947-06-30,TOTAL,Percent
54,1,A,24.62,DTCTL_@%A_BA.M,1947-07-31,TOTAL,Percent
55,1,A,23.10,DTCTL_@%A_BA.M,1947-08-31,TOTAL,Percent
56,1,A,28.74,DTCTL_@%A_BA.M,1947-09-30,TOTAL,Percent
57,1,A,34.89,DTCTL_@%A_BA.M,1947-10-31,TOTAL,Percent
58,1,A,32.42,DTCTL_@%A_BA.M,1947-11-30,TOTAL,Percent
59,1,A,30.71,DTCTL_@%A_BA.M,1947-12-31,TOTAL,Percent
60,1,A,34.82,DTCTL_@%A_BA.M,1948-01-31,TOTAL,Percent
61,1,A,26.82,DTCTL_@%A_BA.M,1948-02-29,TOTAL,Percent
62,1,A,35.22,DTCTL_@%A_BA.M,1948-03-31,TOTAL,Percent
63,1,A,29.55,DTCTL_@%A_BA.M,1948-04-30,TOTAL,Percent
64,1,A,19.87,DTCTL_@%A_BA.M,1948-05-31,TOTAL,Percent
65,1,A,22.76,DTCTL_@%A_BA.M,1948-06-30,TOTAL,Percent
66,1,A,21.63,DTCTL_@%A_BA.M,1948-07-31,TOTAL,Percent
67,1,A,15.01,DTCTL_@%A_BA.M,1948-08-31,TOTAL,Percent
68,1,A,22.49,DTCTL_@%A_BA.M,1948-09-30,TOTAL,Percent
69,1,A,4.99,DTCTL_@%A_BA.M,1948-10-31,TOTAL,Percent
70,1,A,1.83,DTCTL_@%A_BA.M,1948-11-30,TOTAL,Percent
71,1,A,15.37,DTCTL_@%A_BA.M,1948-12-31,TOTAL,Percent
72,1,A,7.48,DTCTL_@%A_BA.M,1949-01-31,TOTAL,Percent
73,1,A,8.12,DTCTL_@%A_BA.M,1949-02-28,TOTAL,Percent
74,1,A,6.28,DTCTL_@%A_BA.M,1949-03-31,TOTAL,Percent
75,1,A,23.88,DTCTL_@%A_BA.M,1949-04-30,TOTAL,Percent
76,1,A,16.44,DTCTL_@%A_BA.M,1949-05-31,TOTAL,Percent
77,1,A,16.07,DTCTL_@%A_BA.M,1949-06-30,TOTAL,Percent
78,1,A,14.25,DTCTL_@%A_BA.M,1949-07-31,TOTAL,Percent
79,1,A,20.71,DTCTL_@%A_BA.M,1949-08-31,TOTAL,Percent
80,1,A,23.49,DTCTL_@%A_BA.M,1949-09-30,TOTAL,Percent
81,1,A,22.12,DTCTL_@%A_BA.M,1949-10-31,TOTAL,Percent
82,1,A,27.61,DTCTL_@%A_BA.M,1949-11-30,TOTAL,Percent
83,1,A,21.88,DTCTL_@%A_BA.M,1949-12-31,TOTAL,Percent
84,1,A,17.81,DTCTL_@%A_BA.M,1950-01-31,TOTAL,Percent
85,1,A,20.20,DTCTL_@%A_BA.M,1950-02-28,TOTAL,Percent
86,1,A,22.50,DTCTL_@%A_BA.M,1950-03-31,TOTAL,Percent
87,1,A,25.15,DTCTL_@%A_BA.M,1950-04-30,TOTAL,Percent
88,1,A,28.19,DTCTL_@%A_BA.M,1950-05-31,TOTAL,Percent
89,1,A,28.93,DTCTL_@%A_BA.M,1950-06-30,TOTAL,Percent
90,1,A,54.97,DTCTL_@%A_BA.M,1950-07-31,TOTAL,Percent
91,1,A,34.88,DTCTL_@%A_BA.M,1950-08-31,TOTAL,Percent
92,1,A,23.41,DTCTL_@%A_BA.M,1950-09-30,TOTAL,Percent
93,1,A,3.66,DTCTL_@%A_BA.M,1950-10-31,TOTAL,Percent
94,1,A,0.85,DTCTL_@%A_BA.M,1950-11-30,TOTAL,Percent
95,1,A,-1.52,DTCTL_@%A_BA.M,1950-12-31,TOTAL,Percent
96,1,A,29.37,DTCTL_@%A_BA.M,1951-01-31,TOTAL,Percent
97,1,A,15.72,DTCTL_@%A_BA.M,1951-02-28,TOTAL,Percent
98,1,A,8.54,DTCTL_@%A_BA.M,1951-03-31,TOTAL,Percent
99,1,A,-10.12,DTCTL_@%A_BA.M,1951-04-30,TOTAL,Percent
100,1,A,-4.05,DTCTL_@%A_BA.M,1951-05-31,TOTAL,Percent
101,1,A,-7.69,DTCTL_@%A_BA.M,1951-06-30,TOTAL,Percent
102,1,A,-6.77,DTCTL_@%A_BA.M,1951-07-31,TOTAL,Percent
103,1,A,11.82,DTCTL_@%A_BA.M,1951-08-31,TOTAL,Percent
104,1,A,7.93,DTCTL_@%A_BA.M,1951-09-30,TOTAL,Percent
105,1,A,9.45,DTCTL_@%A_BA.M,1951-10-31,TOTAL,Percent
106,1,A,17.38,DTCTL_@%A_BA.M,1951-11-30,TOTAL,Percent
107,1,A,-0.57,DTCTL_@%A_BA.M,1951-12-31,TOTAL,Percent
108,1,A,8.48,DTCTL_@%A_BA.M,1952-01-31,TOTAL,Percent
109,1,A,16.93,DTCTL_@%A_BA.M,1952-02-29,TOTAL,Percent
110,1,A,2.08,DTCTL_@%A_BA.M,1952-03-31,TOTAL,Percent
111,1,A,16.79,DTCTL_@%A_BA.M,1952-04-30,TOTAL,Percent
112,1,A,28.11,DTCTL_@%A_BA.M,1952-05-31,TOTAL,Percent
113,1,A,28.27,DTCTL_@%A_BA.M,1952-06-30,TOTAL,Percent
114,1,A,20.08,DTCTL_@%A_BA.M,1952-07-31,TOTAL,Percent
115,1,A,11.40,DTCTL_@%A_BA.M,1952-08-31,TOTAL,Percent
116,1,A,17.52,DTCTL_@%A_BA.M,1952-09-30,TOTAL,Percent
117,1,A,26.99,DTCTL_@%A_BA.M,1952-10-31,TOTAL,Percent
118,1,A,23.27,DTCTL_@%A_BA.M,1952-11-30,TOTAL,Percent
119,1,A,26.29,DTCTL_@%A_BA.M,1952-12-31,TOTAL,Percent
120,1,A,32.09,DTCTL_@%A_BA.M,1953-01-31,TOTAL,Percent
121,1,A,16.03,DTCTL_@%A_BA.M,1953-02-28,TOTAL,Percent
122,1,A,29.24,DTCTL_@%A_BA.M,1953-03-31,TOTAL,Percent
123,1,A,18.13,DTCTL_@%A_BA.M,1953-04-30,TOTAL,Percent
124,1,A,11.75,DTCTL_@%A_BA.M,1953-05-31,TOTAL,Percent
125,1,A,2.58,DTCTL_@%A_BA.M,1953-06-30,TOTAL,Percent
126,1,A,10.73,DTCTL_@%A_BA.M,1953-07-31,TOTAL,Percent
127,1,A,9.82,DTCTL_@%A_BA.M,1953-08-31,TOTAL,Percent
128,1,A,7.08,DTCTL_@%A_BA.M,1953-09-30,TOTAL,Percent
129,1,A,8.17,DTCTL_@%A_BA.M,1953-10-31,TOTAL,Percent
130,1,A,2.73,DTCTL_@%A_BA.M,1953-11-30,TOTAL,Percent
131,1,A,4.96,DTCTL_@%A_BA.M,1953-12-31,TOTAL,Percent
132,1,A,13.10,DTCTL_@%A_BA.M,1954-01-31,TOTAL,Percent
133,1,A,-12.81,DTCTL_@%A_BA.M,1954-02-28,TOTAL,Percent
134,1,A,-6.90,DTCTL_@%A_BA.M,1954-03-31,TOTAL,Percent
135,1,A,7.12,DTCTL_@%A_BA.M,1954-04-30,TOTAL,Percent
136,1,A,-0.06,DTCTL_@%A_BA.M,1954-05-31,TOTAL,Percent
137,1,A,3.94,DTCTL_@%A_BA.M,1954-06-30,TOTAL,Percent
138,1,A,8.58,DTCTL_@%A_BA.M,1954-07-31,TOTAL,Percent
139,1,A,-1.68,DTCTL_@%A_BA.M,1954-08-31,TOTAL,Percent
140,1,A,4.51,DTCTL_@%A_BA.M,1954-09-30,TOTAL,Percent
141,1,A,7.95,DTCTL_@%A_BA.M,1954-10-31,TOTAL,Percent
142,1,A,8.56,DTCTL_@%A_BA.M,1954-11-30,TOTAL,Percent
143,1,A,14.55,DTCTL_@%A_BA.M,1954-12-31,TOTAL,Percent
144,1,A,11.79,DTCTL_@%A_BA.M,1955-01-31,TOTAL,Percent
145,1,A,18.76,DTCTL_@%A_BA.M,1955-02-28,TOTAL,Percent
146,1,A,20.21,DTCTL_@%A_BA.M,1955-03-31,TOTAL,Percent
147,1,A,23.16,DTCTL_@%A_BA.M,1955-04-30,TOTAL,Percent
148,1,A,16.16,DTCTL_@%A_BA.M,1955-05-31,TOTAL,Percent
149,1,A,25.44,DTCTL_@%A_BA.M,1955-06-30,TOTAL,Percent
150,1,A,15.34,DTCTL_@%A_BA.M,1955-07-31,TOTAL,Percent
151,1,A,21.62,DTCTL_@%A_BA.M,1955-08-31,TOTAL,Percent
152,1,A,19.98,DTCTL_@%A_BA.M,1955-09-30,TOTAL,Percent
153,1,A,13.06,DTCTL_@%A_BA.M,1955-10-31,TOTAL,Percent
154,1,A,15.67,DTCTL_@%A_BA.M,1955-11-30,TOTAL,Percent
155,1,A,14.57,DTCTL_@%A_BA.M,1955-12-31,TOTAL,Percent
156,1,A,7.20,DTCTL_@%A_BA.M,1956-01-31,TOTAL,Percent
157,1,A,12.56,DTCTL_@%A_BA.M,1956-02-29,TOTAL,Percent
158,1,A,18.16,DTCTL_@%A_BA.M,1956-03-31,TOTAL,Percent
159,1,A,4.96,DTCTL_@%A_BA.M,1956-04-30,TOTAL,Percent
160,1,A,11.50,DTCTL_@%A_BA.M,1956-05-31,TOTAL,Percent
161,1,A,6.96,DTCTL_@%A_BA.M,1956-06-30,TOTAL,Percent
162,1,A,3.26,DTCTL_@%A_BA.M,1956-07-31,TOTAL,Percent
163,1,A,8.84,DTCTL_@%A_BA.M,1956-08-31,TOTAL,Percent
164,1,A,7.55,DTCTL_@%A_BA.M,1956-09-30,TOTAL,Percent
165,1,A,4.16,DTCTL_@%A_BA.M,1956-10-31,TOTAL,Percent
166,1,A,12.46,DTCTL_@%A_BA.M,1956-11-30,TOTAL,Percent
167,1,A,1.25,DTCTL_@%A_BA.M,1956-12-31,TOTAL,Percent
168,1,A,6.66,DTCTL_@%A_BA.M,1957-01-31,TOTAL,Percent
169,1,A,8.97,DTCTL_@%A_BA.M,1957-02-28,TOTAL,Percent
170,1,A,5.29,DTCTL_@%A_BA.M,1957-03-31,TOTAL,Percent
171,1,A,7.06,DTCTL_@%A_BA.M,1957-04-30,TOTAL,Percent
172,1,A,8.27,DTCTL_@%A_BA.M,1957-05-31,TOTAL,Percent
173,1,A,4.16,DTCTL_@%A_BA.M,1957-06-30,TOTAL,Percent
174,1,A,9.40,DTCTL_@%A_BA.M,1957-07-31,TOTAL,Percent
175,1,A,7.04,DTCTL_@%A_BA.M,1957-08-31,TOTAL,Percent
176,1,A,2.40,DTCTL_@%A_BA.M,1957-09-30,TOTAL,Percent
177,1,A,3.46,DTCTL_@%A_BA.M,1957-10-31,TOTAL,Percent
178,1,A,2.02,DTCTL_@%A_BA.M,1957-11-30,TOTAL,Percent
179,1,A,2.97,DTCTL_@%A_BA.M,1957-12-31,TOTAL,Percent
180,1,A,5.35,DTCTL_@%A_BA.M,1958-01-31,TOTAL,Percent
181,1,A,-4.84,DTCTL_@%A_BA.M,1958-02-28,TOTAL,Percent
182,1,A,-8.09,DTCTL_@%A_BA.M,1958-03-31,TOTAL,Percent
183,1,A,-2.79,DTCTL_@%A_BA.M,1958-04-30,TOTAL,Percent
184,1,A,-1.11,DTCTL_@%A_BA.M,1958-05-31,TOTAL,Percent
185,1,A,-2.80,DTCTL_@%A_BA.M,1958-06-30,TOTAL,Percent
186,1,A,1.13,DTCTL_@%A_BA.M,1958-07-31,TOTAL,Percent
187,1,A,1.03,DTCTL_@%A_BA.M,1958-08-31,TOTAL,Percent
188,1,A,3.02,DTCTL_@%A_BA.M,1958-09-30,TOTAL,Percent
189,1,A,2.77,DTCTL_@%A_BA.M,1958-10-31,TOTAL,Percent
190,1,A,4.12,DTCTL_@%A_BA.M,1958-11-30,TOTAL,Percent
191,1,A,10.17,DTCTL_@%A_BA.M,1958-12-31,TOTAL,Percent
192,1,A,14.05,DTCTL_@%A_BA.M,1959-01-31,TOTAL,Percent
193,1,A,13.54,DTCTL_@%A_BA.M,1959-02-28,TOTAL,Percent
194,1,A,11.97,DTCTL_@%A_BA.M,1959-03-31,TOTAL,Percent
195,1,A,10.93,DTCTL_@%A_BA.M,1959-04-30,TOTAL,Percent
196,1,A,12.93,DTCTL_@%A_BA.M,1959-05-31,TOTAL,Percent
197,1,A,15.72,DTCTL_@%A_BA.M,1959-06-30,TOTAL,Percent
198,1,A,15.82,DTCTL_@%A_BA.M,1959-07-31,TOTAL,Percent
199,1,A,15.62,DTCTL_@%A_BA.M,1959-08-31,TOTAL,Percent
200,1,A,14.60,DTCTL_@%A_BA.M,1959-09-30,TOTAL,Percent
201,1,A,15.25,DTCTL_@%A_BA.M,1959-10-31,TOTAL,Percent
202,1,A,9.47,DTCTL_@%A_BA.M,1959-11-30,TOTAL,Percent
203,1,A,26.63,DTCTL_@%A_BA.M,1959-12-31,TOTAL,Percent
204,1,A,0.10,DTCTL_@%A_BA.M,1960-01-31,TOTAL,Percent
205,1,A,7.48,DTCTL_@%A_BA.M,1960-02-29,TOTAL,Percent
206,1,A,10.61,DTCTL_@%A_BA.M,1960-03-31,TOTAL,Percent
207,1,A,17.91,DTCTL_@%A_BA.M,1960-04-30,TOTAL,Percent
208,1,A,4.98,DTCTL_@%A_BA.M,1960-05-31,TOTAL,Percent
209,1,A,9.03,DTCTL_@%A_BA.M,1960-06-30,TOTAL,Percent
210,1,A,7.39,DTCTL_@%A_BA.M,1960-07-31,TOTAL,Percent
211,1,A,4.09,DTCTL_@%A_BA.M,1960-08-31,TOTAL,Percent
212,1,A,8.50,DTCTL_@%A_BA.M,1960-09-30,TOTAL,Percent
213,1,A,5.34,DTCTL_@%A_BA.M,1960-10-31,TOTAL,Percent
214,1,A,4.93,DTCTL_@%A_BA.M,1960-11-30,TOTAL,Percent
215,1,A,3.03,DTCTL_@%A_BA.M,1960-12-31,TOTAL,Percent
216,1,A,12.93,DTCTL_@%A_BA.M,1961-01-31,TOTAL,Percent
217,1,A,-7.15,DTCTL_@%A_BA.M,1961-02-28,TOTAL,Percent
218,1,A,2.89,DTCTL_@%A_BA.M,1961-03-31,TOTAL,Percent
219,1,A,-7.53,DTCTL_@%A_BA.M,1961-04-30,TOTAL,Percent
220,1,A,2.07,DTCTL_@%A_BA.M,1961-05-31,TOTAL,Percent
221,1,A,3.09,DTCTL_@%A_BA.M,1961-06-30,TOTAL,Percent
222,1,A,1.22,DTCTL_@%A_BA.M,1961-07-31,TOTAL,Percent
223,1,A,4.44,DTCTL_@%A_BA.M,1961-08-31,TOTAL,Percent
224,1,A,5.22,DTCTL_@%A_BA.M,1961-09-30,TOTAL,Percent
225,1,A,5.42,DTCTL_@%A_BA.M,1961-10-31,TOTAL,Percent
226,1,A,11.58,DTCTL_@%A_BA.M,1961-11-30,TOTAL,Percent
227,1,A,9.72,DTCTL_@%A_BA.M,1961-12-31,TOTAL,Percent
228,1,A,0.66,DTCTL_@%A_BA.M,1962-01-31,TOTAL,Percent
229,1,A,6.89,DTCTL_@%A_BA.M,1962-02-28,TOTAL,Percent
230,1,A,9.35,DTCTL_@%A_BA.M,1962-03-31,TOTAL,Percent
231,1,A,14.04,DTCTL_@%A_BA.M,1962-04-30,TOTAL,Percent
232,1,A,13.79,DTCTL_@%A_BA.M,1962-05-31,TOTAL,Percent
233,1,A,9.96,DTCTL_@%A_BA.M,1962-06-30,TOTAL,Percent
234,1,A,6.90,DTCTL_@%A_BA.M,1962-07-31,TOTAL,Percent
235,1,A,9.95,DTCTL_@%A_BA.M,1962-08-31,TOTAL,Percent
236,1,A,6.96,DTCTL_@%A_BA.M,1962-09-30,TOTAL,Percent
237,1,A,10.67,DTCTL_@%A_BA.M,1962-10-31,TOTAL,Percent
238,1,A,10.98,DTCTL_@%A_BA.M,1962-11-30,TOTAL,Percent
239,1,A,8.60,DTCTL_@%A_BA.M,1962-12-31,TOTAL,Percent
240,1,A,9.33,DTCTL_@%A_BA.M,1963-01-31,TOTAL,Percent
241,1,A,12.59,DTCTL_@%A_BA.M,1963-02-28,TOTAL,Percent
242,1,A,12.05,DTCTL_@%A_BA.M,1963-03-31,TOTAL,Percent
243,1,A,12.47,DTCTL_@%A_BA.M,1963-04-30,TOTAL,Percent
244,1,A,9.04,DTCTL_@%A_BA.M,1963-05-31,TOTAL,Percent
245,1,A,9.09,DTCTL_@%A_BA.M,1963-06-30,TOTAL,Percent
246,1,A,14.04,DTCTL_@%A_BA.M,1963-07-31,TOTAL,Percent
247,1,A,14.19,DTCTL_@%A_BA.M,1963-08-31,TOTAL,Percent
248,1,A,9.68,DTCTL_@%A_BA.M,1963-09-30,TOTAL,Percent
249,1,A,15.26,DTCTL_@%A_BA.M,1963-10-31,TOTAL,Percent
250,1,A,7.89,DTCTL_@%A_BA.M,1963-11-30,TOTAL,Percent
251,1,A,15.47,DTCTL_@%A_BA.M,1963-12-31,TOTAL,Percent
252,1,A,13.79,DTCTL_@%A_BA.M,1964-01-31,TOTAL,Percent
253,1,A,13.55,DTCTL_@%A_BA.M,1964-02-29,TOTAL,Percent
254,1,A,13.85,DTCTL_@%A_BA.M,1964-03-31,TOTAL,Percent
255,1,A,10.11,DTCTL_@%A_BA.M,1964-04-30,TOTAL,Percent
256,1,A,13.91,DTCTL_@%A_BA.M,1964-05-31,TOTAL,Percent
257,1,A,8.81,DTCTL_@%A_BA.M,1964-06-30,TOTAL,Percent
258,1,A,12.77,DTCTL_@%A_BA.M,1964-07-31,TOTAL,Percent
259,1,A,9.89,DTCTL_@%A_BA.M,1964-08-31,TOTAL,Percent
260,1,A,13.72,DTCTL_@%A_BA.M,1964-09-30,TOTAL,Percent
261,1,A,8.70,DTCTL_@%A_BA.M,1964-10-31,TOTAL,Percent
262,1,A,5.88,DTCTL_@%A_BA.M,1964-11-30,TOTAL,Percent
263,1,A,14.35,DTCTL_@%A_BA.M,1964-12-31,TOTAL,Percent
264,1,A,17.07,DTCTL_@%A_BA.M,1965-01-31,TOTAL,Percent
265,1,A,13.34,DTCTL_@%A_BA.M,1965-02-28,TOTAL,Percent
266,1,A,10.40,DTCTL_@%A_BA.M,1965-03-31,TOTAL,Percent
267,1,A,15.27,DTCTL_@%A_BA.M,1965-04-30,TOTAL,Percent
268,1,A,11.17,DTCTL_@%A_BA.M,1965-05-31,TOTAL,Percent
269,1,A,12.47,DTCTL_@%A_BA.M,1965-06-30,TOTAL,Percent
270,1,A,11.30,DTCTL_@%A_BA.M,1965-07-31,TOTAL,Percent
271,1,A,7.67,DTCTL_@%A_BA.M,1965-08-31,TOTAL,Percent
272,1,A,10.80,DTCTL_@%A_BA.M,1965-09-30,TOTAL,Percent
273,1,A,8.64,DTCTL_@%A_BA.M,1965-10-31,TOTAL,Percent
274,1,A,7.60,DTCTL_@%A_BA.M,1965-11-30,TOTAL,Percent
275,1,A,6.91,DTCTL_@%A_BA.M,1965-12-31,TOTAL,Percent
276,1,A,13.46,DTCTL_@%A_BA.M,1966-01-31,TOTAL,Percent
277,1,A,9.00,DTCTL_@%A_BA.M,1966-02-28,TOTAL,Percent
278,1,A,8.45,DTCTL_@%A_BA.M,1966-03-31,TOTAL,Percent
279,1,A,4.37,DTCTL_@%A_BA.M,1966-04-30,TOTAL,Percent
280,1,A,6.08,DTCTL_@%A_BA.M,1966-05-31,TOTAL,Percent
281,1,A,5.84,DTCTL_@%A_BA.M,1966-06-30,TOTAL,Percent
282,1,A,3.28,DTCTL_@%A_BA.M,1966-07-31,TOTAL,Percent
283,1,A,6.30,DTCTL_@%A_BA.M,1966-08-31,TOTAL,Percent
284,1,A,1.02,DTCTL_@%A_BA.M,1966-09-30,TOTAL,Percent
285,1,A,3.34,DTCTL_@%A_BA.M,1966-10-31,TOTAL,Percent
286,1,A,5.76,DTCTL_@%A_BA.M,1966-11-30,TOTAL,Percent
287,1,A,4.15,DTCTL_@%A_BA.M,1966-12-31,TOTAL,Percent
288,1,A,4.84,DTCTL_@%A_BA.M,1967-01-31,TOTAL,Percent
289,1,A,1.93,DTCTL_@%A_BA.M,1967-02-28,TOTAL,Percent
290,1,A,4.33,DTCTL_@%A_BA.M,1967-03-31,TOTAL,Percent
291,1,A,1.80,DTCTL_@%A_BA.M,1967-04-30,TOTAL,Percent
292,1,A,3.10,DTCTL_@%A_BA.M,1967-05-31,TOTAL,Percent
293,1,A,6.86,DTCTL_@%A_BA.M,1967-06-30,TOTAL,Percent
294,1,A,4.09,DTCTL_@%A_BA.M,1967-07-31,TOTAL,Percent
295,1,A,6.72,DTCTL_@%A_BA.M,1967-08-31,TOTAL,Percent
296,1,A,5.67,DTCTL_@%A_BA.M,1967-09-30,TOTAL,Percent
297,1,A,3.06,DTCTL_@%A_BA.M,1967-10-31,TOTAL,Percent
298,1,A,9.74,DTCTL_@%A_BA.M,1967-11-30,TOTAL,Percent
299,1,A,6.16,DTCTL_@%A_BA.M,1967-12-31,TOTAL,Percent
300,1,A,-15.58,DTCTL_@%A_BA.M,1968-01-31,TOTAL,Percent
301,1,A,12.99,DTCTL_@%A_BA.M,1968-02-29,TOTAL,Percent
302,1,A,8.46,DTCTL_@%A_BA.M,1968-03-31,TOTAL,Percent
303,1,A,10.03,DTCTL_@%A_BA.M,1968-04-30,TOTAL,Percent
304,1,A,8.53,DTCTL_@%A_BA.M,1968-05-31,TOTAL,Percent
305,1,A,7.51,DTCTL_@%A_BA.M,1968-06-30,TOTAL,Percent
306,1,A,11.41,DTCTL_@%A_BA.M,1968-07-31,TOTAL,Percent
307,1,A,7.72,DTCTL_@%A_BA.M,1968-08-31,TOTAL,Percent
308,1,A,9.67,DTCTL_@%A_BA.M,1968-09-30,TOTAL,Percent
309,1,A,15.55,DTCTL_@%A_BA.M,1968-10-31,TOTAL,Percent
310,1,A,10.08,DTCTL_@%A_BA.M,1968-11-30,TOTAL,Percent
311,1,A,12.42,DTCTL_@%A_BA.M,1968-12-31,TOTAL,Percent
312,1,A,8.45,DTCTL_@%A_BA.M,1969-01-31,TOTAL,Percent
313,1,A,12.41,DTCTL_@%A_BA.M,1969-02-28,TOTAL,Percent
314,1,A,9.87,DTCTL_@%A_BA.M,1969-03-31,TOTAL,Percent
315,1,A,10.88,DTCTL_@%A_BA.M,1969-04-30,TOTAL,Percent
316,1,A,10.28,DTCTL_@%A_BA.M,1969-05-31,TOTAL,Percent
317,1,A,7.99,DTCTL_@%A_BA.M,1969-06-30,TOTAL,Percent
318,1,A,6.06,DTCTL_@%A_BA.M,1969-07-31,TOTAL,Percent
319,1,A,5.85,DTCTL_@%A_BA.M,1969-08-31,TOTAL,Percent
320,1,A,6.84,DTCTL_@%A_BA.M,1969-09-30,TOTAL,Percent
321,1,A,6.71,DTCTL_@%A_BA.M,1969-10-31,TOTAL,Percent
322,1,A,5.23,DTCTL_@%A_BA.M,1969-11-30,TOTAL,Percent
323,1,A,5.56,DTCTL_@%A_BA.M,1969-12-31,TOTAL,Percent
324,1,A,6.10,DTCTL_@%A_BA.M,1970-01-31,TOTAL,Percent
325,1,A,3.64,DTCTL_@%A_BA.M,1970-02-28,TOTAL,Percent
326,1,A,0.83,DTCTL_@%A_BA.M,1970-03-31,TOTAL,Percent
327,1,A,0.89,DTCTL_@%A_BA.M,1970-04-30,TOTAL,Percent
328,1,A,1.49,DTCTL_@%A_BA.M,1970-05-31,TOTAL,Percent
329,1,A,6.08,DTCTL_@%A_BA.M,1970-06-30,TOTAL,Percent
330,1,A,6.24,DTCTL_@%A_BA.M,1970-07-31,TOTAL,Percent
